k__Bacteria; p__Aquificae; c__Aquificae; o__Aquificales; f__Aquificaceae; g__Hydrogenobaculum; s__	196961	253004	536557	191225	169362	168018	275529	166575	103999	187024	174644	242317	254183
k__Bacteria; p__Spirochaetes; c__Spirochaetes; o__Spirochaetales; f__Spirochaetaceae; g__Treponema; s__	221817	148384	579960	4047	661722	3979	4445551	4398099	218236	593083	77606	252267	217329	77899	3035576	820884	40147	227383	574881	758910	143126	143125	143683	615105	2267207	147844	767886	305736	128399	142394	565720	143443	107163	143191	3988889	4399995	224684	114513	141278	658783	141605	774127	144893	728295	114784	48891	573443	1123062	296752	289263	225815	324511	545719	146145	292558	142867	105320	105718	46681	144579	144573	671656	148281	826738	586283	724218	4396767	77600	584558	768791	27500	77700	291158	46814	581172	4302791	518643	77905	226646	328771	222340	144398	535295	104881	223738	570300	221705	144212	593113	172825	143625	4032	758489	704365	124932	148505	3211220	4403751	3312999	544045	4384911	413967	142666	148796	142140	4367100	221940	290933	143477	255983	220638	4302067	4336118	302470	4434215	318992	222788	4388611	223374	141381	112755	701163	4380124	143310	143317	2188240	295712	142763	4300549	114451	218504	547268	221724	144465	4421620	4421621	142539	4373843	114660	535661	533519	287400	218615	4360518	167129	143879	644654	727924	1679573	1679576	535291	78084	513030	4311448	4311445	4311447	1754530	4314039	1038455	114589	145031	223609	351155	289096	3988893	588427	780193	143612	143614	4423052	724140	4294994	4294992	4294990	2614099	814664	16871	148603	4336338	593215	4421347	4447221	669126	47380	219762	4340454	218319	143469	778552	317013	149298	143039	576755	102462	3984	4396072	1679581	1679580	251512	226457	219918	583190	71146	579730	708307	4402070	46398	142457	101908	577179	142283	737528	342601	590884	144192	695689	141471	1694480	224431	2372714	533901	22449	141966	4328793	289070	37517	25824	220100	578240	4417515	796200	77686	4361162	4344587	162987	301587	78092	309470	4465362	219310	4480075	287527	225778	44741	289217	4294777	4313058	3918	143607	2224797	224730	4448954	2614101	4294985	4294987	4294986	4294988	742519	1139645	142294	143523	834424	164828	143094	149827	147614	288594	143117	148778	3884	4036316	4036317	527931	145928	770611	4374849	4445552	223229	143419	660059	4016967	4016968	255139	613024	143023	143026	224511	534577	113740	223981	220405	3977	146849	1107928	590869	551209	3836	3830	142336	2707164	220461	227117	4302216	4307772	292458	143279	146387	17555	59569	27323	144847	537216	219559	2354223	150371	142914	222756	644428	547244	298410	2055565	296528	562976	124523	290418	141838	142519	142518	226598	260367	1139840	141783	4323557	300310	297140	1145921	4116	799251	338638	145168	223178	543504	3367778	3367775	3367776	3367777	3367773	77677	4355504	821499	141888	47422	716287	4430947	150413	2746499	340128	223445	647826	140996	166677	276247	221332	630958	220062	399903	726740	147776	4335321	4318566	4083	1147099	699726	224709	217360	148695	142062	4301112	78058	569649	219158	570152	143533	4453921	72610	142561	17854	114560	217299	3892	240875	686342	261227	4461468	626048	30346	143400	221515	649375	354599	3968	3823	3829	318378	141230	757133	4332873	676224	103814	147373	142473	292553	568148	4304098	4299663	144853	4201363	4376637	856253	301381	143974	143978	144082	240104	4295472	95168	4351779	141454	222762	274299	591066	572384	3218286	532956	77792	535465	3634443	38586	536207	581477	163648	561286	561288	543915	219417	547924	300306	149097	4024	648610	141054	141059	227535	4341396	171504	144144	225517	4457994	230746	4354839	77948	2461771	1106995	144356	142453	114698	4313079	217377	2857302	4454150	293538	221831	220312	296406	573638	302670	225579	699927	142181	580934	4461470	224276	708386	4311449	220674	554108	143041	143044	564057	574315	148033	3952	3957	3956	3955	225584	3833	3820833	71034	629933	291758	4434682	548467	143255	221619	143128	1868006	142405	4307383	4409981	293188	144197	228504	718629	150217	144101	149176	143943	143947	144414	96103	541314	21434	142978	225659	638731	219803	94916	141999	45933	1609565	823371	144524	4015	78281	780106	226681	141261	95796	141493	150060	4314435	149613	1099434	77955	77953	144341	279521	142525	4136	221034	142088	4351775	812536	1637544	794983	267284	224598	239628	847272	4307578	26242	142069	4398641	148743	550201	4437401	4437400	4437402	3273465	4437399	3874739	4314041	354983	677448	316607	259533	4353504	924224	4401454	165815	143072	4306755	291861	3940	3943	3945	141191	36987	220974	146780	526483	144064	142811	221781	220437	222491	226497	352588	103223	217691	4249893	572172	143152	607174	217983	150200	143951	822161	142969	202186	238440	218555	1144353	806421	141806	548190	225012	240409	4427066	135860	141771	299900	143866	4315167	132900	252938	291505	558616	673363	536459	136736	172484	220779	149891	144331	514045	47692	44787	149915	218441	142118	672202	580986	339375	4426532	4391928	81100	293514	141837	148565	1894037	223526	4375512	709405	144749	223483	121373	588543	680330	654783	301603	647335	540952	775841	222477	2866157	112977	220559	142363	36150	4459020	144644	221520	148414	163772	765222	35642	218857	4341836	225375	3934	3931	3932	1679578	1679574	1679575	143550	631128	4426475	4312232	144078	302891	142828	142825	217685	141692	1804196	135888	144806	141234	294464	113818	219515	219516	542150	226610	224974	275514	68837	1111900	77749	86557	141873	141878	4463123	296789	135873	135878	661758	1522208	566586	222060	1113510	144238	225887	77632	339907	4351781	218197	77877	545253	265613	100628	227472	144325	674577	3133360	688144	726835	243990	217357	236512	169274	829953	4375501	142053	729106	4390143	552289	689598	338696	221761	142615	141842	3640980	290981	63015	4393453	164084	59907	142485	143359	1140326	218947	777903	144495	3922	3923	166432	561144	2278600	241126	1547776	217673	143229	4384198	4384194	4384197	4384190	4384191	4384192	163662	142436	142437	4469839	144810	146570	222608	143938	816985	42877	660502	289341	536096	302085	77759	555083	295127	106960	222118	1861543	145132	4470773	2177666	679049	775503	77621	536020	143755	1566783	744438	344992	4434307	294323	4309070	220887	679256	4325657	221364	220094	3907	42498	142173	142170	724219	265892	149532	220252	220251	147944	219004	806883	142232	148779	142787	3367780	640192	73875	114537	3862	3861	227160	812325	1679572	4470613	222599	59914	142305	664894	576189	167853	146440	539398	217451	142754	134428	582361	562502	3916	219620	1505338	744418	737242	4307189	2372755	143215	3598660	4307228	141923	299619	4447951	4377532	301098	301091	141867	4088	78213	143904	143907	4127	141179	4294775	519715	144081	143395	303208	1084707	218084	229277	77925	226884	135856	135854	135859	141724	580634	1694479	4396931	223651	22641	4056	219595	4336489	148967	4347875	219460	77811	1147282	77997	3070026	147653	3042302	149948	142166	610910	4374538	51498	170322	219079	94550	220612	142205	4307981	589527	651475	851783	332359	880816	302412	3988894	3988895	3988891	3988892	220851	289589	3879	3877	227153	226408	248516	4329153	142337	78106	78105	586713	64386	224378	565920	4314703	142741	338950	3906	92774	40667	219657	549585	293769	569396	4423702	4373842	141295	267013	1141379	3591273	3591271	141850	142553	77582	325466	256394	717486	144546	144543	778174	31994	143914	4131	77775	4295418	3966	4351780	263409
k__Bacteria; p__Chlorobi; c__Chlorobia; o__Chlorobiales; f__Chlorobiaceae; g__Chlorobium; s__phaeovibrioides	2700	131048
k__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Thermoproteales; f__Thermoproteaceae; g__Pyrobaculum; s__	168945	170987	163529	141351	165044	26139	2430106	4439778	4367774	4484285	2909029	103094	688488	4295385	178974	1141344	3636240	143372	2289218
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__	1107648	1091956	4448631	774265	99757	103197	114428	152040	238734	4439509	306996	835465	4322411	4322414	826075	4469100	829550	7207	827184	837895	829835	1935394	52290	4057263	4057261	4057260	4057266	4057264	591807	112116	4451235	762934	836066	114787	4300556	1118454	107719	4426372	253304	826702	513734	155935	578615	290140	4421746	7228	581174	4450842	242586	191283	366252	547752	585066	835083	4131595	567520	989137	7210	837884	613873	511989	1817298	92786	2675751	1067865	4421093	2119966	4433085	4403613	1120254	833909	4338090	101733	4470957	838624	518847	1981302	828130	3286175	3190659	3025647	273875	828007	4360371	1129309	4311004	134333	830591	266310	99605	4312107	1144796	107758	1120499	935928	1028384	826926	1139512	830484	92526	829395	816799	373485	2416442	835905	837654	4419904	825966	512532	187232	98470	106470	4336260	249301	4386755	33919	833822	4057262	3830804	833782	805788	359764	205234	826714	4458221	1111967	257111	4301374	826627	233329	3181321	828327	3050515	7280	1120636	3765722	4457313	1108355	1115029	4374124	4430679	4342020	49998	762007	7274	7275	7278	3107733	68654	224499	1123412	1136382	193326	2595334	838160	703211	188950	207999	7199	1126170	4358960	825230	727394	643321	99403	791677	156791	838992	3198412	294371	4394958	836581	4311227	827481	830809	38074	4473177	214181	826544	27908	825968	4411637	371320	838475	4426693	635266	111824	3173387	1113799	100149	4311799	837177	4463531	261292	4313903	167637	4449314	749604	831062	832431	4405198	4419453	836489	841119	832149	2687337	4379445	829157	532737	2606131	249666	215353	828261	837741	4342018	4102550	838959	4450385	568984	833134	2425051	826024	364827	4480978	839618	686703	7256	837494	1001908	3138016	19267	4311174	811237	4322412	834944	3082361	2780645	4357794	3173579	1116023	261995	3104598	244344	1144092	807344	135993	830205	1128023	832355	3998436	2147040	4346780	813758	236960	101554	107486	4450846	562227	126056	4392018	4392019	4392016	4392017	4392015	103619	790327	4297639	1107841	2690011	1134673	4421194	829351	238661	2675747	139065	138334	3319006	1723982	837694	152895	106783	830107	1124499	4434801	4434802	211450	132704	1875114	120952	668303	550064	130148	4348440	618625	112208	103770	66264	3423513	1116856	802064	826004	254031	826831	831365	834463	4419903	281438	4421749	4421744	4421747	210301	3882802	829347	106626	51147	826436	811217	4307203	614841	101850	4467025	1803659	4306941	4409949	143801	4087392	140566	1107550	723203	829733	108849	836720	827173	4448407	834247	139190	4304769	823575	3015779	4335077	4335078	1086621	970617	200131	672362	1960924	4111971	4329448	24899	174858	839537	114595	70255	214324	94022	825905	1105493	114708	2289849	835899	316759	156171	614642	156580	541275	209661	2959193	156722	100178	833183	322726	153271	278433	302174	829521	1118978	131028	99847	4430246	7221	7222	7227	7229	40058	827405	4392020	556774	4457189	2383128	4311006	4311007	698496	4476983	943557	4473332	834935	837796	1075005	243973	41507	835839	4320347	4312216	246153	547313	129858	831912	817948	1111573	3427113	4460046	104855	335341	257662	4382778	114687	103060	138801	140350	517409	4448890	565936	554415	585316	830423	1139776	757551	814176	1142499	166835	592106	4270981	289044	4057271	2607181	1114815	218457	174942	4342883	546672	293763	4455709	850264	277373	837115	839188	7255	4462210	4403092	833413	336202	2117154	4386014	4364247
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Zymomonas; s__	143774	278075	157059	808002	576370	1134725
k__Bacteria; p__Aquificae; c__Aquificae; o__Aquificales; f__Hydrogenothermaceae; g__Persephonella; s__marina	3835597
k__Bacteria; p__Chlorobi; c__Chlorobia; o__Chlorobiales; f__Chlorobiaceae; g__Chlorobaculum; s__	192472	4379584	585706	114664	203280	143100	554120	203015	226020	188667	2689	2687	2692	2690	4483458	222254	1773386
k__Archaea; p__Euryarchaeota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Archaeoglobus; s__fulgidus	577361	755	553284
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Ruegeria; s__pomeroyi	129026	625454
